,App,Category,Size_M,Price,Rating
49,First Words Animals,Games,30.6748046875,1.99,4.0
50,WeatherPro,Weather,65.87890625,1.99,4.0
51,HotSchedules,Business,78.2373046875,2.99,3.0
52,Star Walk - Find Stars And Planets in Sky Above,Education,143.2373046875,4.99,4.5
53,"The Weather Channel: Forecast, Radar & Alerts",Weather,190.4814453125,0.0,3.5
54,Big Day - Event Countdown,Lifestyle,12.546875,0.99,3.0
55,12 Steps AA Companion - Alcoholics Anonymous,Lifestyle,28.9609375,2.99,3.5
56,OpenTable - Restaurant Reservations,Food & Drink,89.0927734375,0.0,4.5
57,VLC Remote,Entertainment,30.0458984375,4.99,4.0
58,gFlashPro - Flashcards & Tests,Education,24.79296875,3.99,4.0
59,Lose It! – Weight Loss Program and Calorie Counter,Health & Fitness,173.62109375,0.0,4.0
60,Target,Shopping,132.326171875,0.0,3.0
61,Fish Tycoon,Games,12.936434745788574,0.99,3.5
62,"Amazon App: shop, scan, compare, and read reviews",Shopping,127.4951171875,0.0,3.5
63,Touchgrind,Games,52.6484375,4.99,4.0
65,iReal Pro - Music Book & Play Along,Music,60.3515625,12.99,4.5
67,Chase Mobile℠,Finance,37.67578125,0.0,4.5
69,Allrecipes Dinner Spinner,Food & Drink,34.712890625,0.0,3.5
70,新浪新闻-阅读最新时事热门头条资讯视频,News,109.8095703125,0.0,3.5
71,MotionX GPS,Navigation,53.865234375,1.99,3.5
72,AccuWeather - Weather for Life,Weather,173.5126953125,0.0,3.5
73,"Mint: Personal Finance, Budget, Bills & Money",Finance,155.345703125,0.0,4.0
74,ABC News - US & World News + Live Video,News,93.5634765625,0.0,3.0
75,Rowmote: Remote Control for Mac,Utilities,51.5830078125,0.99,3.5
76,Peekaboo Barn,Education,47.83203125,1.99,4.0
77,Speedtest by Ookla,Utilities,22.8271484375,0.0,3.5
78,Pocket God,Entertainment,138.5625,0.99,4.0
79,Nike+ Training Club - Workouts & Fitness Plans,Health & Fitness,133.865234375,0.0,3.5
80,Citi Mobile®,Finance,268.2158203125,0.0,3.5
81,Phase 10 Pro - Play Your Friends!,Games,63.60546875,1.99,4.5
82,"Kindle – Read eBooks, Magazines & Textbooks",Book,161.8837890625,0.0,3.5
83,MASH,Games,39.759765625,1.99,4.0
84,同花顺-炒股、股票,Finance,117.193359375,0.0,3.5
85,Wedding Dash Deluxe,Games,53.21875,0.99,4.5
86,Beer Pong Game,Games,180.203125,0.0,2.0
87,Tempo - Metronome with Setlists,Music,21.158203125,2.99,4.5
89,Color Splash,Photo & Video,26.83203125,0.99,4.0
90,Zombieville USA,Games,26.667061805725098,0.99,4.0
91,Skype for iPhone,Social Networking,127.06640625,0.0,3.5
92,Tumblr,Social Networking,144.5517578125,0.0,4.0
93,iSwap Faces,Photo & Video,25.8154296875,1.99,3.5
94,Match™ - #1 Dating App.,Social Networking,96.568359375,0.0,3.0
95,Tozzle - Toddler's favorite puzzle,Games,160.400390625,2.99,4.0
96,HomeBudget with Sync,Finance,16.67578125,4.99,3.5
98,Map My Run+ - GPS Running & Workout Tracker,Health & Fitness,226.8916015625,2.99,4.5
99,Map My Ride+ - GPS Cycling & Route Tracker,Health & Fitness,222.6962890625,2.99,4.5
100,"HuffPost - News, Politics & Entertainment",News,105.3056640625,0.0,3.0
101,Phrase Party!,Games,45.5615234375,1.99,4.0
102,Minesweeper Classic,Games,21.228515625,0.99,3.5
103,Sally's Spa,Games,411.76953125,2.99,4.5
104,"CBS Sports App - Sports Scores, News, Stats, Watch",Sports,114.7822265625,0.0,3.0
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,Health & Fitness,86.62109375,4.99,4.0
106,iSwap Faces LITE,Photo & Video,29.3701171875,0.0,3.0
107,DIRECTV,Entertainment,144.3837890625,0.0,3.5
108,NYTimes Crossword - Daily Word Puzzle Game,Games,44.708984375,0.0,3.5
109,Doodle Jump,Games,46.4833984375,0.99,4.5
110,LEDit – The LED Banner App,Utilities,16.3515625,1.99,4.5
112,Fandango Movies - Times + Tickets,Entertainment,78.12890625,0.0,4.0
113,iCab Mobile (Web Browser),Utilities,18.55078125,1.99,4.0
114,iRagdoll - Ragdoll Physics,Games,113.185546875,0.99,4.0
115,Proloquo2Go - Symbol-based AAC,Education,690.2353515625,249.99,4.0
116,Dictionary.com Dictionary & Thesaurus,Book,106.1201171875,0.0,4.0
118,The Masters Tournament,Sports,115.1328125,0.0,4.5
119,myAT&T,Utilities,65.318359375,0.0,3.0
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",Photo & Video,116.6494140625,0.0,4.0
122,StickWars,Games,16.22265625,0.99,3.5
123,Indeed Job Search,Business,3.5205078125,0.0,4.0
124,World Cup Table Tennis™,Games,29.93359375,0.99,4.0
125,WhatsApp Messenger,Social Networking,128.7880859375,0.0,4.5
126,"iStudiez Pro – Homework, Schedule, Grades",Productivity,53.2294921875,2.99,4.0
127,Zillow Real Estate - Homes for Sale & for Rent,Lifestyle,126.48828125,0.0,4.5
128,2XL Supercross,Games,258.1875,4.99,4.0
129,Pocket Tanks Deluxe,Games,37.982421875,4.99,4.5
130,Wells Fargo Mobile,Finance,54.6728515625,0.0,3.0
133,Sky Burger - Build & Match Food Free,Games,139.4541015625,0.0,4.5
134,MindNode – Delightful Mind Mapping,Productivity,49.8720703125,9.99,4.0
135,Packing Pro,Travel,15.576171875,2.99,4.0
136,USAA Mobile,Finance,156.767578125,0.0,4.0
137,The Moron Test,Entertainment,43.5947265625,0.0,4.0
138,Sunday Lawn,Games,15.3408203125,0.99,3.5
139,Peggle Classic,Games,213.4375,0.99,4.5
141,I Am T-Pain 2.0,Music,19.59064483642578,2.99,3.5
142,TextNow - Unlimited Text + Calls,Social Networking,124.5859375,0.0,3.5
144,Best Buy,Shopping,172.138671875,0.0,4.0
145,I Dig It,Games,18.93359375,0.99,4.0
146,Unblock Me,Games,40.9375,0.99,4.0
147,Sonic The Hedgehog,Games,34.9931640625,2.99,4.0
148,10 Pin Shuffle Pro Bowling,Games,34.9501953125,3.99,4.0
150,"ESPN: Get scores, news, alerts & watch live sports",Sports,49.1513671875,0.0,3.5
151,LiveATC Air Radio,Travel,7.91796875,3.99,4.0
152,The Sims 3,Games,410.2021484375,6.99,3.5
153,"Chess Pro with Coach - Learn,Play & Online Friends",Games,66.7197265625,9.99,4.0
154,Guess My Age  Math Magic,Education,0.7315883636474609,0.0,3.0
155,Crush the Castle,Games,12.394550323486328,0.99,3.5
156,2016 U.S. Open Golf Championship,Sports,133.0810546875,0.0,4.0
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",Sports,124.353515625,0.0,4.0
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,Music,97.2041015625,9.99,4.5
159,NBC News,News,50.498046875,0.0,3.5
160,"Grindr - Gay and same sex guys chat, meet and date",Social Networking,76.6845703125,0.0,2.5
161,Whole Foods Market,Shopping,130.951171875,0.0,3.0
162,NAVIGON Europe,Navigation,137.72265625,74.99,3.5
163,Virtual Families,Games,26.46090793609619,1.99,3.5
166,Sleep Cycle alarm clock,Health & Fitness,75.6416015625,0.0,4.5
167,FACEinHOLE®,Photo & Video,12.224609375,0.99,4.0
169,WORMS,Games,242.0751953125,1.99,4.0
170,Pixel Starships™ : 8Bit MMORPG,Games,65.8828125,0.0,4.5
171,Traffic Rush,Games,8.1767578125,0.99,3.5
172,MyRadar NOAA Weather Radar Forecast,Weather,121.3876953125,0.0,4.5
173,Resident Evil 4: PLATINUM,Games,77.60467338562012,4.99,4.0
174,"Waze - GPS Navigation, Maps & Real-time Traffic",Navigation,89.7783203125,0.0,4.5
175,Cartoon Wars,Games,12.604707717895508,0.99,3.5
176,Moto X Mayhem,Games,20.036897659301758,0.99,4.0
178,Spotify Music,Music,126.3720703125,0.0,4.5
180,PGA Championship 2016 – Baltusrol Golf Club,Sports,61.17578125,0.0,3.5
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",Weather,117.9873046875,1.99,4.5
183,Spider:  The Secret of Bryce Manor,Games,120.4609375,1.99,4.0
184,My Measures PRO,Productivity,76.181640625,7.99,4.0
187,Baby Connect (Activity Log),Medical,12.337890625,4.99,4.5
188,Epson iPrint,Photo & Video,50.9150390625,0.0,3.0
189,Mad Libs,Entertainment,113.0087890625,0.0,3.0
190,BATTLE BEARS: Zombies!,Games,98.41697216033936,0.99,3.5
191,Hurricane Tracker,Weather,23.4365234375,2.99,4.5
192,NFL Sunday Ticket,Entertainment,91.6416015625,0.0,3.0
193,2016 US Open Tennis Championships,Sports,74.1005859375,0.0,4.0
194,Dropbox,Productivity,172.4287109375,0.0,3.5
196,Monkey Preschool Lunchbox,Games,218.6513671875,1.99,4.0
197,Yahoo Fantasy Sports,Sports,124.931640625,0.0,3.5
198,Gaia GPS Classic,Navigation,50.6376953125,19.99,4.5
200,Geocaching®,Navigation,103.1552734375,0.0,3.5
201,Camera+,Photo & Video,85.0556640625,1.99,4.0
203,Parking Mania,Games,117.8212890625,0.99,4.5
204,Sudoku⁺,Games,1.5341796875,2.99,4.5
205,Period Tracker Lite,Health & Fitness,47.845703125,0.0,4.0
206,Camera Plus: For Macro Photos & Remote Photography,Photo & Video,96.494140625,0.99,2.5
209,Starbucks,Food & Drink,128.77734375,0.0,4.5
210,央视影音-海量央视内容高清直播,Sports,52.1171875,0.0,2.5
211,Bloons TD,Games,8.041603088378906,2.99,4.0
212,Weight Watchers,Health & Fitness,220.0322265625,0.0,3.5
213,"CNN: Breaking US & World News, Live Video",News,76.49609375,0.0,3.5
214,Gilt,Shopping,141.3359375,0.0,3.5
215,TRUTH or DARE!!! - FREE,Entertainment,19.83203125,0.0,3.0
216,Canabalt,Games,26.640625,2.99,4.0
217,Alipay - Makes Life Easy,Lifestyle,198.6591796875,0.0,3.0
218,Scanner911 Pro,News,32.24609375,3.99,4.0
219,Daily Teachings,Lifestyle,19.3583984375,4.99,4.5
220,Scanner Pro - PDF document scanner app with OCR,Business,96.6513671875,3.99,4.5
221,Twitter,News,200.814453125,0.0,3.5
223,CBS News - Watch Free Live Breaking News,News,74.431640625,0.0,3.5
225,The Impossible Quiz!,Entertainment,42.583984375,0.0,4.0
226,WolframAlpha,Book,28.962890625,2.99,4.0
227,Catan,Games,358.7451171875,1.99,4.0
228,ScanBizCards Business Card Reader,Business,92.330078125,0.99,4.0
229,"Walgreens – Pharmacy, Photo, Coupons and Shopping",Shopping,161.302734375,0.0,4.5
230,King of Dragon Pass,Games,347.60546875,9.99,5.0
231,Stylebook,Lifestyle,42.0908203125,3.99,4.0
232,NBA,Sports,106.8828125,0.0,3.5
233,Blower,Entertainment,94.359375,0.99,2.0
234,My Cycles Period and Ovulation Tracker,Health & Fitness,74.087890625,0.0,3.5
235,"Kmart – Download Now, Shop Online & Pick Up Today!",Shopping,90.119140625,0.0,3.5
236,优酷视频,Entertainment,195.46484375,0.0,3.5
237,DOOM Classic,Games,31.27734375,4.99,4.0
238,SoundCloud - Music & Audio,Music,100.14453125,0.0,4.0
239,imo video calls and chat,Social Networking,21.517578125,0.0,4.0
240,Plane Finder - Flight Tracker,Navigation,50.1943359375,3.99,4.0
241,"Runtastic Running, Jogging and Walking Tracker",Health & Fitness,144.375,0.0,4.5
242,iFiles,Productivity,45.130859375,0.99,3.5
243,TeachMe: Kindergarten,Education,57.07421875,1.99,4.0
245,Victoria’s Secret – The Sexiest Bras & Lingerie,Shopping,58.1513671875,0.0,3.5
246,MONOPOLY Game,Games,185.3818359375,0.99,3.5
248,Shazam Encore,Music,140.302734375,2.99,4.0
249,Harry Potter: Spells,Games,119.6015625,0.99,4.0
250,First Words Deluxe,Games,60.3837890625,4.99,4.0
251,Clay Hunt,Games,14.6044921875,0.99,4.0
253,Jet Car Stunts,Games,31.32716178894043,1.99,4.0
254,Call of Duty: Zombies,Games,50.3743782043457,4.99,4.0
255,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",Shopping,139.720703125,0.0,3.0
256,AirWatch Agent,Business,23.6005859375,0.0,2.5
257,Shop Savvy Barcode Scanner - Price Compare & Deals,Shopping,85.3701171875,0.0,2.5
258,Voice Changer Plus,Entertainment,38.8359375,0.0,3.0
260,Redbox,Entertainment,80.01953125,0.0,3.0
262,Trenches,Games,35.610445976257324,0.99,4.0
263,The Christmas List,Shopping,24.9267578125,1.99,4.5
264,Macy's,Shopping,102.822265625,0.0,3.5
265,Calorie Counter & Diet Tracker by MyFitnessPal,Health & Fitness,145.626953125,0.0,4.5
268,5-0 Radio Pro Police Scanner (Extra Feeds),News,47.296875,3.99,4.0
269,Hipstamatic,Photo & Video,108.796875,2.99,3.5
270,Sing Karaoke Songs Unlimited with StarMaker,Music,87.0390625,0.0,4.0
271,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,Business,8.4130859375,4.99,5.0
273,Rat On A Scooter XL,Games,7.4072265625,0.99,4.0
274,IMDb Movies & TV - Trailers and Showtimes,Entertainment,84.59375,0.0,4.5
275,Angry Birds,Games,167.814453125,0.0,4.5
281,Grand Theft Auto: Chinatown Wars,Games,838.1689453125,4.99,4.0
282,Southwest Airlines,Travel,84.6611328125,0.0,3.0
283,The Sims 3 World Adventures,Games,775.1064453125,2.99,3.5
284,Star Chart,Education,27.291015625,0.0,4.5
285,TaxCaster – Free tax refund calculator,Finance,6.7822265625,0.0,3.5
286,Glow Hockey 2 FREE,Games,32.479063987731934,0.0,3.5
287,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",Entertainment,20.45703125,0.99,4.0
289,All-in-1 Logic GameBox,Games,21.266003608703613,0.99,4.0
290,Roadside America,Travel,9.7578125,2.99,4.0
291,Pocket Yoga,Health & Fitness,126.3427734375,2.99,4.5
292,Sonic the Hedgehog 2,Games,44.9970703125,2.99,4.0
293,Simply Being - Guided Meditation for Relaxation and Presence,Health & Fitness,95.4140625,1.99,4.5
294,CamCard - Business card scanner & reader,Business,166.740234375,0.99,4.5
295,This American Life,Entertainment,13.08984375,2.99,3.5
299,Doodle Army,Games,17.051000595092773,0.99,4.0
302,Plants vs. Zombies,Games,100.498046875,0.99,5.0
303,Weibo,Social Networking,190.33984375,0.0,3.5
304,大众点评-发现品质生活,Lifestyle,233.189453125,0.0,4.0
306,"Badoo - Meet New People, Chat, Socialize.",Social Networking,150.3232421875,0.0,4.5
307,Flick Kick Field Goal,Games,72.109375,1.99,4.5
308,Venmo,Finance,64.99609375,0.0,4.5
310,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",Education,95.71875,3.99,4.5
313,Waterlogged - Daily Hydration Tracker,Health & Fitness,41.4267578125,0.0,4.5
314,MyNetDiary PRO - Calorie Counter and Food Diary,Health & Fitness,79.966796875,3.99,4.5
315,The Washington Post Classic,News,113.46875,0.0,4.5
316,F-Sim Space Shuttle,Games,72.85546875,4.99,4.5
317,"Groupon - Deals, Coupons & Discount Shopping App",Shopping,121.4814453125,0.0,4.5
321,Sporcle,Games,14.9501953125,2.99,3.5
322,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",Sports,78.083984375,0.0,3.5
323,DOOM II RPG,Games,46.444722175598145,0.99,3.0
324,STREET FIGHTER IV,Games,554.421875,4.99,4.0
326,FINAL FANTASY,Games,109.5234375,7.99,4.0
327,FINAL FANTASY II,Games,190.2109375,7.99,4.0
328,Worms 2: Armageddon,Games,505.2138671875,4.99,4.5
329,SoundHound Song Search & Music Player,Music,67.25,0.0,4.0
331,TeachMe: 1st Grade,Education,86.060546875,1.99,4.0
334,Kik,Social Networking,144.8291015625,0.0,4.0
335,Slow Shutter Cam,Photo & Video,4.259765625,1.99,4.0
337,AgingBooth,Entertainment,30.3935546875,0.0,4.0
338,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",Photo & Video,20.7626953125,1.99,4.5
339,Tabs & Chords by Ultimate Guitar - learn and play,Music,98.275390625,2.99,4.5
341,Drawing Pad,Entertainment,210.1875,1.99,4.0
342,ESPN Tournament Challenge,Sports,65.8583984375,0.0,4.0
343,Solitaire,Games,97.220703125,0.0,4.5
344,Notability,Productivity,116.5732421875,9.99,4.0
345,Rubik's® Cube,Games,144.9150390625,1.99,4.0
346,Super Why! Power to Read,Education,131.65234375,3.99,3.5
347,Amex Mobile,Finance,101.0732421875,0.0,4.0
348,Fruit Ninja Classic,Games,99.7451171875,1.99,4.5
349,Animation Creator HD,Entertainment,30.56640625,3.99,4.0
350,Plants vs. Zombies HD,Games,215.396484375,0.99,5.0
351,SCRABBLE Premium for iPad,Games,219.337890625,9.99,3.5
352,Graphic - illustration and design,Productivity,31.09375,8.99,4.5
354,Photogene ⁴,Photo & Video,33.78125,2.99,4.5
356,Star Walk HD - Night Sky Map,Education,143.2626953125,4.99,4.5
358,Netflix,Entertainment,119.224609375,0.0,3.5
359,forScore,Music,34.0625,9.99,4.5
361,iAnnotate PDF,Productivity,42.056640625,9.99,4.5
362,ArtStudio for iPad - Draw Sketch and Paint,Photo & Video,32.720703125,4.99,4.5
363,Call of Duty: Zombies HD,Games,33.95329189300537,4.99,3.5
364,Small World 2,Games,223.27734375,1.99,4.0
365,Qzone,Social Networking,127.6728515625,0.0,3.5
366,ABC – Watch Live TV & Stream Full Episodes,Entertainment,81.7529296875,0.0,3.0
367,Fieldrunners for iPad,Games,209.515625,3.99,4.0
368,Angry Birds HD,Games,168.00390625,0.0,4.5
369,"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",Weather,56.36328125,0.0,4.0
370,Do Not Press The Red Button HD,Entertainment,10.401907920837402,1.99,2.5
371,"Digits, the calculator for humans",Productivity,3.984375,3.99,4.5
372,"PDF Reader Pro Edition - Annotate,edit & sign PDFs",Business,60.060546875,9.99,4.0
373,National Geographic World Atlas,Book,63.07421875,1.99,4.0
374,FileBrowser - Access files on remote computers,Utilities,64.919921875,5.99,4.5
375,Dictionary.com Dictionary & Thesaurus for iPad,Book,158.0703125,0.0,4.5
377,AirCoaster - Roller Coaster Builder,Games,21.708984375,0.99,3.0
378,"Documents 6 - File manager, PDF reader and browser",Productivity,102.291015625,0.0,4.5
380,Photo Transfer App - Easy backup of photos+videos,Photo & Video,43.08984375,0.0,4.5
382,Ski Tracks,Navigation,23.7001953125,0.99,4.5
384,▻Sudoku,Games,67.712890625,0.0,4.5
385,"StubHub - Tickets to Sports, Concerts and Theatre",Entertainment,107.392578125,0.0,3.5
386,"Runtastic PRO Running, Jogging and Fitness Tracker",Health & Fitness,142.609375,4.99,4.5
387,OverDrive – Library eBooks and Audiobooks,Book,37.9990234375,0.0,4.0
388,Hotels & Vacation Rentals by Booking.com,Travel,100.716796875,0.0,4.5
389,The Impossible Game,Games,13.5048828125,0.99,4.0
390,PrankDial - #1 Prank Call App,Entertainment,107.302734375,0.0,3.0
391,Fox News,News,61.7080078125,0.0,4.0
393,QR Reader for iPhone,Utilities,52.2392578125,0.0,4.0
394,Uber,Travel,270.703125,0.0,3.0
397,Hurricane Tracker For iPad,Weather,10.12109375,2.99,4.5
399,AudioNote - Notepad and Voice Recorder,Business,31.6748046875,9.99,4.0
401,My Virtual Girlfriend - Deluxe Dating Sim,Games,137.5009765625,0.99,3.5
403,QQ 浏览器-搜新闻、选小说漫画、看视频,Utilities,114.26171875,0.0,3.5
404,Math Ninja HD,Games,23.97265625,1.99,4.5
406,Chase Mobile,Finance,33.3310546875,0.0,4.5
409,Math Bingo,Education,13.92578125,2.99,4.5
410,▻Sudoku +,Games,58.7421875,4.99,5.0
411,"Tango - Free Video Call, Voice and Chat",Social Networking,128.6015625,0.0,4.5
412,MeetMe - Chat and Meet New People,Social Networking,127.7509765625,0.0,4.0
413,WebMD for iPad,Health & Fitness,16.7978515625,0.0,3.5
414,GeoBee Challenge HD by National Geographic,Games,34.30859375,1.99,4.5
415,"OPlayer HD - video player, classic media streaming",Entertainment,121.1357421875,4.99,4.0
417,Cat Physics,Games,14.1376953125,1.99,4.5
418,随手记（专业版）-好用的记账理财工具,Finance,80.0126953125,0.99,4.5
419,AnkiMobile Flashcards,Education,18.4736328125,24.99,4.0
420,WeatherPro for iPad,Weather,56.720703125,2.99,4.0
422,BATTLE BEARS -1,Games,216.86890316009521,0.99,4.0
423,Crash Bandicoot Nitro Kart 2,Games,71.76843070983887,2.99,3.5
424,WIRED Magazine,News,22.7734375,0.0,2.5
426,Notes Plus,Productivity,104.5419921875,9.99,4.0
427,Color Splash for iPad,Photo & Video,17.8837890625,1.99,4.5
428,Robot Unicorn Attack,Games,49.703125,0.99,4.0
429,SimSimi,Social Networking,29.90625,0.0,4.0
430,Carcassonne,Games,342.552734375,9.99,4.5
431,Apple Store,Shopping,67.50390625,0.0,3.5
432,TED,Education,80.162109375,0.0,3.5
435,Doodle God™,Games,116.0771484375,1.99,4.5
436,Carnivores: Dinosaur Hunter Pro,Games,290.541015625,2.99,4.0
437,Blackboard Mobile Learn™,Education,48.80859375,0.0,2.0
439,Hulu: Watch TV Shows & Stream the Latest Movies,Entertainment,94.9560546875,0.0,2.0
442,360 Panorama,Photo & Video,7.5859375,1.99,4.5
443,"Mega Millions & Powerball - lottery games in the US with winning number results, lotto jackpots and prize payouts",Lifestyle,7.51171875,0.0,4.5
444,Cake Doodle,Games,94.9462890625,0.99,4.0
447,Diptic,Photo & Video,35.0048828125,2.99,4.5
448,Family Feud™ HD,Games,75.6385726928711,6.99,3.5
449,Edmodo,Education,122.0126953125,0.0,3.5
451,Drift Mania Championship,Games,1123.8837890625,0.99,3.0
453,Osmos for iPad,Games,39.8369140625,4.99,4.5
455,"Audible – audio books, original series & podcasts",Book,77.7802734375,0.0,4.5
456,Living Earth - Clock & Weather,Utilities,161.1796875,2.99,4.5
457,Sushi Cat,Games,59.484375,0.99,4.0
458,Talking Tom Cat for iPad,Entertainment,71.923828125,0.0,3.5
459,Let's create! Pottery HD,Entertainment,167.04296875,4.99,4.5
460,Files HD Pro - File Manager & Web Browser,Utilities,26.8154296875,4.99,4.0
462,Ringtones for iPhone & Ringtone Maker,Music,104.2080078125,0.0,4.5
465,Week Calendar,Productivity,78.0537109375,1.99,4.5
466,Stack the States®,Education,126.2451171875,2.99,4.5
467,Flashlight Ⓞ,Utilities,40.080078125,0.0,5.0
469,Celebtwin: Celebrity Looks Like Lite,Lifestyle,77.9853515625,0.0,1.5
470,Onefootball - Soccer Scores & Live News,Sports,108.5419921875,0.0,4.5
471,SuperCam_Pro,Business,26.52734375,1.99,2.5
473,手机百度 - 百度一下你就得到,Utilities,215.91796875,0.0,4.5
474,Sam's Club: Wholesale Shopping & Bulk Buy Deals,Shopping,107.87890625,0.0,4.0
475,Splashtop Personal - Remote Desktop,Business,53.392578125,4.99,4.5
477,Viber Messenger – Text & Call,Social Networking,123.6513671875,0.0,4.5
478,Osmos,Games,32.4150390625,2.99,4.5
479,shopkick - Shopping Rewards & Discounts,Shopping,71.3564453125,0.0,4.5
481,"Ringtone Designer Pro - Create Unlimited Ringtones, Text Tones, Email Alerts, and More!",Music,3.3018741607666016,0.99,4.5
482,The Secret of Grisly Manor,Games,49.3955078125,0.99,4.0
483,"Find My Family, Friends & iPhone - Life360 Locator",Social Networking,147.349609375,0.0,4.5
484,Pocketbooth - the photo booth in your pocket,Photo & Video,69.2236328125,0.99,4.5
485,"乐视视频-白鹿原,欢乐颂,奔跑吧全网热播",Entertainment,176.1337890625,0.0,4.5
486,The Incident,Games,18.6298828125,0.99,4.0
488,Dictionary.com Dictionary & Thesaurus Premium,Book,103.794921875,3.99,4.5
491,Weibo HD,Social Networking,99.5517578125,0.0,4.5
493,Bloons Super Monkey,Games,27.2431640625,0.99,3.5
494,Lotto Results - Mega Millions Powerball Lottery,News,7.6201171875,0.0,4.0
495,IKEA Catalog,Lifestyle,117.2822265625,0.0,4.0
498,Infinity Blade,Games,595.1955890655518,0.99,5.0
499,淘宝 - 随时随地，想淘就淘,Shopping,295.328125,0.0,4.0
501,iSlash,Games,26.33984375,0.99,4.5
502,Ugly Meter™,Entertainment,29.03125,0.99,3.5
503,"Muslim Pro: Ramadan 2017 Prayer Times, Azan, Quran",Book,95.8935546875,0.0,4.5
505,2XL Supercross HD,Games,258.1875,4.99,3.5
506,Fly Delta,Travel,134.2802734375,0.0,3.0
507,Google Authenticator,Utilities,16.4375,0.0,3.0
508,CamScanner +| PDF Document Scanner and OCR,Productivity,93.8896484375,0.99,4.5
510,"Flashlight for iPhone , iPod and iPad",Utilities,61.0751953125,0.0,4.5
512,The Sims 3 Ambitions,Games,424.21484375,4.99,3.5
513,Bookshelf,Education,101.5146484375,0.0,2.5
514,QQ同步助手-新机一键换机必备工具,Utilities,69.5625,0.0,4.5
